,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
45,Kadence,Kadence 12 strings Slowhand Premium Mahogany wood Semi Acoustic Guitar KSH03-12EQ,-,7 days Replacement,"Thursday, 29 February",In stock,https://www.amazon.in/Kadence-Slowhand-Mahogany-Acoustic-KSH03-12EQ/dp/B0CGDDPVKK/ref=sr_1_45?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-45
46,-,"PERLMAN Paper Guitar Fretboard, Fingerboard Self-Adhesive Stickers, Decals Tool For Learner Or Beginner",-,-,"Thursday, 29 February",In stock,https://www.amazon.in/Perlman-Fretboard-Fingerboard-Stickers-Beginner/dp/B096ZDSWJ4/ref=sr_1_46?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-46
47,ENYA,"Enya Nova Go Carbon Fiber Acoustic Guitar 1/2 Size Beginner Adult Travel Acustica Guitarra w/Starter Bundle Kit of Colorful Packaging, Acoustic Guitar Strap, Gig Bag, Cleaning Cloth, String(White)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Acoustic-Beginner-Acustica-Guitarra-Packaging/dp/B09JNTBFMC/ref=sr_1_47?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-47
48,Yamaha,YAMAHA FS80C NATURAL CONCERT CUTAWAY GUITAR,-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/YAMAHA-NATURAL-CONCERT-CUTAWAY-GUITAR/dp/B08KW4DRKL/ref=sr_1_48?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-48
49,Kadence,"Kadence A281 Professional Acoustic Rosewood guitar (Natural, Beige)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Kadence-Professional-Acoustic-Rosewood-Natural/dp/B0CC927DLN/ref=sr_1_49?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-49
50,blueberry,"BLUEBERRY B-D38, Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks - 38 Inch (Black)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Blueberry-B-D38-Acoustic-Inbuilt-Strings/dp/B07PGV8VCB/ref=sr_1_50?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-50
51,Kadence,"Kadence Acoustica Series, Semi Acoustic Guitar Spruce Top",-,7 days Replacement,"Thursday, 29 February",Only 1 left in stock.,https://www.amazon.in/Kadence-Acoustica-Acoustic-Guitar-Spruce/dp/B08L7XW5SR/ref=sr_1_51?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-51
52,-,-,-,-,-,-,https://www.amazon.in/Juarez-Acoustic-Cutaway-BK-Strings/dp/B076T3RHMG/ref=sr_1_52?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-52
53,-,-,-,-,-,-,https://www.amazon.in/JUAREZ-Arpeggio-Guitar-JRA41SP-RD-K-red/dp/B08MW8CWG8/ref=sr_1_53?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-53
54,-,-,-,-,-,-,https://www.amazon.in/Fender-String-Cutaway-Acoustic-Guitar/dp/B07YX5W8MV/ref=sr_1_54?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-54
55,Tanglewood,"Tanglewood Crossroads TWCR D Acoustic Guitar, 6 Strings, Dreadnought, Whiskey Barrel Burst Satin Finish",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Tanglewood-Crossroads-Acoustic-Strings-Dreadnought/dp/B016KJHWGY/ref=sr_1_55?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-55
56,-,-,-,-,-,-,https://www.amazon.in/Kadence-Frontier-Acoustic-Foldable-Strings/dp/B01CJJGEVS/ref=sr_1_56?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-56
57,KETOSTICS,"Ketostics™ Venus Special Cutaway Rosewood 41 Inch Givson semi electric Acoustic Guitar Kit with Bag, Rhythm String Set, Strap and 5 Plectrums, (Black)",-,-,"Wednesday, 28 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfYnRmOjMwMDEzMzI5NDY5NTIzMjo6MDo6&url=%2FKetostics-Special-electric-Acoustic-Plectrums%2Fdp%2FB08HWJ6T3T%2Fref%3Dsr_1_57_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA3TA8QS9VGGKWW
58,Gum-Tea,"Acoustic Guitar, 39 Inch Cutaway, 039C with Bag, Strings, Pick and Strap, Random Colour colors may be vary",-,-,"Tuesday, 27 February",Only 1 left in stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfYnRmOjMwMDExODEzMTQ4MTYzMjo6MDo6&url=%2FAcoustic-Guitar-Cutaway-Strings-Strap%2Fdp%2FB08NTC4KG4%2Fref%3Dsr_1_58_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
59,-,ROCKON RA-40 SUNBURST 40 INCHES ACOUSTIC GUITAR WITH HARD THERMOCOL CASE,-,-,"Friday, 1 March",Only 2 left in stock.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfYnRmOjMwMDEyMDIyODA4NTEzMjo6MDo6&url=%2FROCKON-RA-40-SUNBURST-ACOUSTIC-THERMOCOL%2Fdp%2FB0CS9MH5X9%2Fref%3Dsr_1_59_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
60,DEVICE OF URBAN INFOTECH,DEVICE OF URBAN INFOTECH 40 inch Guitar for Beginners Adults Premium Wood Guitar Curved Cutaway Design Acoustic Guitar Kit with Guitar Bag Guitar for Beginners Adults Student Guitarists (Natural),-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfYnRmOjMwMDExMzg5MzQwMjEzMjo6MDo6&url=%2FDEVICE-URBAN-INFOTECH-Beginners-Guitarists%2Fdp%2FB0CR7DPXQN%2Fref%3Dsr_1_60_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
61,natural,"SG Musical Harmonium- 3 1/4 Octave, Double Bellow, 39 Keys,7 Stopper, 2 Reeds (Bass- Male), With Cover",-,-,"Monday, 4 March",In stock,https://aax-eu.amazon.in/x/c/RC0onDs_izkcAfBB8kXPCDoAAAGN1adDKwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCsDJ85/https://www.amazon.in/SG-Musical-Harmonium-Octave-Stopper/dp/B07SSGFMK4/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.7d6d801d-0b91-42f0-9ded-a1900c21a285%3Aamzn1.sym.7d6d801d-0b91-42f0-9ded-a1900c21a285&cv_ct_cx=guitar&dib=eyJ2IjoiMSJ9.C2wdXqHg5bEQQVUjgiW3wA.v2sqjGtn0yY_Lz6fzvANOMtiQ36JnTe2aCrRDFlxSRw&dib_tag=se&keywords=guitar&pd_rd_i=B07SSGFMK4&pd_rd_r=b8d0cd68-b0ef-402c-a1f4-34ef7b3b95d5&pd_rd_w=6UUnx&pd_rd_wg=Jr5ZQ&pf_rd_p=7d6d801d-0b91-42f0-9ded-a1900c21a285&pf_rd_r=HR41HMFBVHTVTD7HTCB9&qid=1708686525&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-25dedf61-9bde-4412-952b-c956ef4fc546
62,MOCKING BIRD,MOCKING BIRD 38c Acoustic Guitar for Beginners Musical Instruments For Adults premium kit wood curved cutaway design Guitar Accessories with string & 5 picks & bag for beige (Beige),-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY1NTgwNDg2NTc0MDUzOjE3MDg2ODY1NTI6c3BfYXRmX25leHQ6MzAwMTE4NzMxMjg4MDMyOjowOjo&url=%2FMOCKING-BIRD-Beginners-Instruments-Accessories%2Fdp%2FB0CMXDPFQV%2Fref%3Dsr_1_49_sspa%3Fdib%3DeyJ2IjoiMSJ9.ejHGkCcblS9eTEKeKjM2sx5dXfozJ-OpAOnHvq6tnxRJeilAr7od5wNczp6m7dJ8V5GfyVkXUkyPoh_z2opf0v90bwErCymNhM7eJ2ekbG2ooJMCj85buCjA9MP9Yu4wYsu0mmUpPAfMvqvXHBjfCdkRYhE9OAGx8PYIrJZBDP4P82Z_LkYwDBiTQYuZDEXE4TKwGujSBWUcA0sabtTfFknv-D9CTolpBmo3fiinG7ylVn2Mp7KUF6E4_5G2gHMw-0H96Ve_hmcVaqGQpNBXKtUKU_dV12eT7zVyau-aqTE.lmQmpA0tm-Jt3RWNdxAbuCptctX5o3LCF12G8PX7k5o%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686552%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
63,Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY1NTgwNDg2NTc0MDUzOjE3MDg2ODY1NTI6c3BfYXRmX25leHQ6MzAwMDE1NTA4OTU0MTMyOjowOjo&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_50_sspa%3Fdib%3DeyJ2IjoiMSJ9.ejHGkCcblS9eTEKeKjM2sx5dXfozJ-OpAOnHvq6tnxRJeilAr7od5wNczp6m7dJ8V5GfyVkXUkyPoh_z2opf0v90bwErCymNhM7eJ2ekbG2ooJMCj85buCjA9MP9Yu4wYsu0mmUpPAfMvqvXHBjfCdkRYhE9OAGx8PYIrJZBDP4P82Z_LkYwDBiTQYuZDEXE4TKwGujSBWUcA0sabtTfFknv-D9CTolpBmo3fiinG7ylVn2Mp7KUF6E4_5G2gHMw-0H96Ve_hmcVaqGQpNBXKtUKU_dV12eT7zVyau-aqTE.lmQmpA0tm-Jt3RWNdxAbuCptctX5o3LCF12G8PX7k5o%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686552%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
64,Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)",-,7 days Replacement,"Tuesday, 27 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY1NTgwNDg2NTc0MDUzOjE3MDg2ODY1NTI6c3BfYXRmX25leHQ6MzAwMDE1NTM3OTc5MjMyOjowOjo&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsr_1_51_sspa%3Fdib%3DeyJ2IjoiMSJ9.ejHGkCcblS9eTEKeKjM2sx5dXfozJ-OpAOnHvq6tnxRJeilAr7od5wNczp6m7dJ8V5GfyVkXUkyPoh_z2opf0v90bwErCymNhM7eJ2ekbG2ooJMCj85buCjA9MP9Yu4wYsu0mmUpPAfMvqvXHBjfCdkRYhE9OAGx8PYIrJZBDP4P82Z_LkYwDBiTQYuZDEXE4TKwGujSBWUcA0sabtTfFknv-D9CTolpBmo3fiinG7ylVn2Mp7KUF6E4_5G2gHMw-0H96Ve_hmcVaqGQpNBXKtUKU_dV12eT7zVyau-aqTE.lmQmpA0tm-Jt3RWNdxAbuCptctX5o3LCF12G8PX7k5o%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686552%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
65,Generic,Kaspar 10C Lindenwood Acoustic guitar 38 Inches Cutaway guitar & Truss Rod Guitar for beginers & students (Black),-,-,"Thursday, 29 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDY1NTgwNDg2NTc0MDUzOjE3MDg2ODY1NTI6c3BfYXRmX25leHQ6MzAwMTM0NzQwMTI4MjMyOjowOjo&url=%2FLindenwood-Acoustic-Cutaway-beginers-students%2Fdp%2FB0CNYV8YNN%2Fref%3Dsr_1_52_sspa%3Fdib%3DeyJ2IjoiMSJ9.ejHGkCcblS9eTEKeKjM2sx5dXfozJ-OpAOnHvq6tnxRJeilAr7od5wNczp6m7dJ8V5GfyVkXUkyPoh_z2opf0v90bwErCymNhM7eJ2ekbG2ooJMCj85buCjA9MP9Yu4wYsu0mmUpPAfMvqvXHBjfCdkRYhE9OAGx8PYIrJZBDP4P82Z_LkYwDBiTQYuZDEXE4TKwGujSBWUcA0sabtTfFknv-D9CTolpBmo3fiinG7ylVn2Mp7KUF6E4_5G2gHMw-0H96Ve_hmcVaqGQpNBXKtUKU_dV12eT7zVyau-aqTE.lmQmpA0tm-Jt3RWNdxAbuCptctX5o3LCF12G8PX7k5o%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686552%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
66,YAMAHA,"Yamaha F280 Acoustic sprucewood Guitar Dreadnought With Mexa Guitar Bag, Belt, String Set, Plectrums & Guitar StAnd (Tsb)",-,7 days Replacement,"Thursday, 29 February",In stock,https://www.amazon.in/Yamaha-F280-Acoustic-Dreadnought-Plectrum/dp/B08VN2V5V3/ref=sr_1_53?dib=eyJ2IjoiMSJ9.ejHGkCcblS9eTEKeKjM2sx5dXfozJ-OpAOnHvq6tnxRJeilAr7od5wNczp6m7dJ8V5GfyVkXUkyPoh_z2opf0v90bwErCymNhM7eJ2ekbG2ooJMCj85buCjA9MP9Yu4wYsu0mmUpPAfMvqvXHBjfCdkRYhE9OAGx8PYIrJZBDP4P82Z_LkYwDBiTQYuZDEXE4TKwGujSBWUcA0sabtTfFknv-D9CTolpBmo3fiinG7ylVn2Mp7KUF6E4_5G2gHMw-0H96Ve_hmcVaqGQpNBXKtUKU_dV12eT7zVyau-aqTE.lmQmpA0tm-Jt3RWNdxAbuCptctX5o3LCF12G8PX7k5o&dib_tag=se&keywords=guitar&qid=1708686552&sr=8-53
67,-,-,-,-,-,-,https://www.amazon.in/Yamaha-F310-6-Strings-Acoustic-Natural/dp/B000RVYW7E/ref=sr_1_54?dib=eyJ2IjoiMSJ9.ejHGkCcblS9eTEKeKjM2sx5dXfozJ-OpAOnHvq6tnxRJeilAr7od5wNczp6m7dJ8V5GfyVkXUkyPoh_z2opf0v90bwErCymNhM7eJ2ekbG2ooJMCj85buCjA9MP9Yu4wYsu0mmUpPAfMvqvXHBjfCdkRYhE9OAGx8PYIrJZBDP4P82Z_LkYwDBiTQYuZDEXE4TKwGujSBWUcA0sabtTfFknv-D9CTolpBmo3fiinG7ylVn2Mp7KUF6E4_5G2gHMw-0H96Ve_hmcVaqGQpNBXKtUKU_dV12eT7zVyau-aqTE.lmQmpA0tm-Jt3RWNdxAbuCptctX5o3LCF12G8PX7k5o&dib_tag=se&keywords=guitar&qid=1708686552&sr=8-54
